id,deveui,received_at,payload
38,58A0CB0000108FF2,2025-06-10 19:53:13.004+00,"{""payload_hex"": ""08fb271cffffffff""}"
39,58A0CB0000108FB5,2025-06-10 19:53:17.337+00,"{""payload_hex"": ""08ab271effffffff""}"
40,58A0CB0000101640,2025-06-10 19:53:53.15+00,"{""payload_hex"": ""00db3443ffffffff""}"
41,58A0CB0000108AD6,2025-06-10 19:55:38.948+00,"{""payload_hex"": ""08fb3542ffffffff""}"
42,58A0CB000010200F,2025-06-10 19:55:40.573+00,"{""payload_hex"": ""08fb3640ffffffff""}"
43,58A0CB0000108FF2,2025-06-10 19:56:34.58+00,"{""payload_hex"": ""08fb251bffffffff""}"
44,58A0CB0000108FB5,2025-06-10 19:57:02.282+00,"{""payload_hex"": ""08ab251bffffffff""}"
45,58A0CB0000108FF2,2025-06-10 20:01:12.988+00,"{""payload_hex"": ""08fb231cffffffff""}"
46,58A0CB000010162C,2025-06-10 20:02:55.068+00,"{""payload_hex"": ""00fb363bffffffff""}"
47,58A0CB0000108FB5,2025-06-10 20:03:02.739+00,"{""payload_hex"": ""08ab231effffffff""}"
48,58A0CB0000108FF2,2025-06-10 20:07:12.366+00,"{""payload_hex"": ""08fb2421ffffffff""}"
49,58A0CB0000108FB5,2025-06-10 20:10:02.444+00,"{""payload_hex"": ""08ab2423ffffffff""}"
50,58A0CB0000101F62,2025-06-10 20:10:44.682+00,"{""payload_hex"": ""086b3444ffffffff""}"
51,58A0CB00001088D7,2025-06-10 20:13:20.887+00,"{""payload_hex"": ""08fb3642ffffffff""}"
52,58A0CB0000108FF7,2025-06-10 20:16:08.858+00,"{""payload_hex"": ""08fb3642ffffffff""}"
53,58A0CB0000108FF2,2025-06-10 20:17:12.331+00,"{""payload_hex"": ""08fb2426ffffffff""}"
54,58A0CB0000108FB5,2025-06-10 20:18:02.12+00,"{""payload_hex"": ""08ab2428ffffffff""}"
55,58A0CB0000108FF2,2025-06-10 20:26:12.721+00,"{""payload_hex"": ""08fb252bffffffff""}"
56,58A0CB0000108FB5,2025-06-10 20:27:01.971+00,"{""payload_hex"": ""08ab252dffffffff""}"
57,AABBCCDD00112233,2025-06-10 20:00:00+00,"{""payload_hex"": ""DEADBEEF""}"
58,AABBCCDD00112233,2025-06-10 20:00:00+00,"{""payload_hex"": ""CAFEBABE""}"
59,58A0CB000010162C,2025-06-10 22:06:49.508+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -72.973816, ""LrrSNR"": 8.5, ""LrrRSSI"": -72.399994}]}, ""Time"": ""2025-06-10T22:06:49.508+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB000010162C"", ""FCntDn"": 14, ""FCntUp"": 127, ""LrrESP"": -72.973816, ""LrrSNR"": 8.5, ""SpFact"": 12, ""Channel"": ""LC0"", ""DevAddr"": ""01D201C2"", ""LrrRSSI"": -72.399994, ""MeanPER"": 0.193548, ""NbTrans"": 3, ""SubBand"": ""G1"", ""TxPower"": 16.0, ""mic_hex"": ""f4cefec5"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""app"": {""mId"": ""tbhh100"", ""pId"": ""os1-brow"", ""ver"": ""1""}, ""mod"": {""mId"": ""tbhh100"", ""pId"": ""browan"", ""ver"": ""1""}}, ""Frequency"": 868.1, ""CustomerID"": ""100053770"", ""InstantPER"": 0.0, ""payload_hex"": ""00fb363cffffffff"", ""CustomerData"": {""alr"": {""pro"": ""BROW/TB100"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Charles R&D Product""}], ""name"": ""Dinard 162C"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 0, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
60,58A0CB0000108FB5,2025-06-10 22:07:28.516+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -68.973816, ""LrrSNR"": 8.5, ""LrrRSSI"": -68.399994}]}, ""Time"": ""2025-06-10T22:07:28.516+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB0000108FB5"", ""FCntDn"": 202, ""FCntUp"": 8251, ""LrrESP"": -68.973816, ""LrrSNR"": 8.5, ""SpFact"": 12, ""Channel"": ""LC1"", ""DevAddr"": ""E04233FF"", ""LrrRSSI"": -68.399994, ""MeanPER"": 0.0, ""NbTrans"": 1, ""SubBand"": ""G1"", ""TxPower"": 16.0, ""mic_hex"": ""0b11af62"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""app"": {""mId"": ""tbhh100"", ""pId"": ""os1-brow"", ""ver"": ""1""}, ""mod"": {""mId"": ""tbhh100"", ""pId"": ""browan"", ""ver"": ""1""}}, ""Frequency"": 868.3, ""CustomerID"": ""100053770"", ""InstantPER"": 0.0, ""payload_hex"": ""08aa2f56ffffffff"", ""CustomerData"": {""alr"": {""pro"": ""BROW/TB100"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Charles R&D Product""}], ""name"": ""Dinard_1st_Bedroom Al"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 0, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
61,58A0CB0000108FF2,2025-06-10 22:09:10.448+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -77.324173, ""LrrSNR"": 6.25, ""LrrRSSI"": -76.399994}]}, ""Time"": ""2025-06-10T22:09:10.448+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB0000108FF2"", ""FCntDn"": 8, ""FCntUp"": 157, ""LrrESP"": -77.324173, ""LrrSNR"": 6.25, ""SpFact"": 12, ""Channel"": ""LC1"", ""DevAddr"": ""00F770C9"", ""LrrRSSI"": -76.399994, ""MeanPER"": 0.0, ""NbTrans"": 1, ""SubBand"": ""G1"", ""TxPower"": 16.0, ""mic_hex"": ""bea76b43"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""app"": {""mId"": ""tbhh100"", ""pId"": ""os1-brow"", ""ver"": ""1""}, ""mod"": {""mId"": ""tbhh100"", ""pId"": ""browan"", ""ver"": ""1""}}, ""Frequency"": 868.3, ""CustomerID"": ""100053770"", ""InstantPER"": 0.0, ""payload_hex"": ""08fa314effffffff"", ""CustomerData"": {""alr"": {""pro"": ""BROW/TB100"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Charles R&D Product""}], ""name"": ""Dinard_1st_Bedroom Ro"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 0, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
62,58A0CB0000101640,2025-06-10 22:09:36.785+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -81.487717, ""LrrSNR"": 9.25, ""LrrRSSI"": -81.0}]}, ""Time"": ""2025-06-10T22:09:36.785+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB0000101640"", ""FCntDn"": 2762, ""FCntUp"": 21131, ""LrrESP"": -81.487717, ""LrrSNR"": 9.25, ""SpFact"": 7, ""Channel"": ""LC6"", ""DevAddr"": ""E0424688"", ""LrrRSSI"": -81.0, ""MeanPER"": 0.0, ""NbTrans"": 1, ""SubBand"": ""G2"", ""TxPower"": 2.0, ""mic_hex"": ""9e0d6f5e"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""app"": {""mId"": ""tbhh100"", ""pId"": ""os1-brow"", ""ver"": ""1""}, ""mod"": {""mId"": ""tbhh100"", ""pId"": ""browan"", ""ver"": ""1""}}, ""Frequency"": 867.7, ""CustomerID"": ""100053770"", ""InstantPER"": 0.0, ""payload_hex"": ""00eb2520ffffffff"", ""CustomerData"": {""alr"": {""pro"": ""BROW/TB100"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Charles R&D Product""}], ""name"": ""Dinard 1640"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 0, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
63,58A0CB0000108FB5,2025-06-10 22:11:59.888+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -70.005554, ""LrrSNR"": 8.25, ""LrrRSSI"": -69.399994}]}, ""Time"": ""2025-06-10T22:11:59.888+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB0000108FB5"", ""FCntDn"": 202, ""FCntUp"": 8252, ""LrrESP"": -70.005554, ""LrrSNR"": 8.25, ""SpFact"": 12, ""Channel"": ""LC1"", ""DevAddr"": ""E04233FF"", ""LrrRSSI"": -69.399994, ""MeanPER"": 0.0, ""NbTrans"": 1, ""SubBand"": ""G1"", ""TxPower"": 16.0, ""mic_hex"": ""c7fade38"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""app"": {""mId"": ""tbhh100"", ""pId"": ""os1-brow"", ""ver"": ""1""}, ""mod"": {""mId"": ""tbhh100"", ""pId"": ""browan"", ""ver"": ""1""}}, ""Frequency"": 868.3, ""CustomerID"": ""100053770"", ""InstantPER"": 0.0, ""payload_hex"": ""08aa3051ffffffff"", ""CustomerData"": {""alr"": {""pro"": ""BROW/TB100"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Charles R&D Product""}], ""name"": ""Dinard_1st_Bedroom Al"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 0, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
64,58A0CB0000101F62,2025-06-10 22:12:53.3+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -68.973816, ""LrrSNR"": 8.5, ""LrrRSSI"": -68.399994}]}, ""Time"": ""2025-06-10T22:12:53.300+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB0000101F62"", ""FCntDn"": 342, ""FCntUp"": 16342, ""LrrESP"": -68.973816, ""LrrSNR"": 8.5, ""SpFact"": 12, ""Channel"": ""LC0"", ""DevAddr"": ""E042696C"", ""LrrRSSI"": -68.399994, ""MeanPER"": 0.0, ""NbTrans"": 3, ""SubBand"": ""G1"", ""TxPower"": 16.0, ""mic_hex"": ""1ff4827f"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""mod"": {""mId"": ""lora"", ""pId"": ""generic"", ""ver"": ""1""}}, ""Frequency"": 868.1, ""CustomerID"": ""100053770"", ""InstantPER"": 0.0, ""payload_hex"": ""086b3445ffffffff"", ""CustomerData"": {""alr"": {""pro"": ""LORA/Generic"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Microshare_Prod_Dev/2023CPHome/TBHH100 Env ES Air""}], ""name"": ""Dinard_2nd_Loft main"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 0, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
65,58A0CB000010200F,2025-06-10 22:13:32.609+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -74.887711, ""LrrSNR"": 9.25, ""LrrRSSI"": -74.399994}]}, ""Time"": ""2025-06-10T22:13:32.609+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB000010200F"", ""FCntDn"": 6, ""FCntUp"": 136, ""LrrESP"": -74.887711, ""LrrSNR"": 9.25, ""SpFact"": 12, ""Channel"": ""LC2"", ""DevAddr"": ""014FBD9D"", ""LrrRSSI"": -74.399994, ""MeanPER"": 0.0, ""NbTrans"": 3, ""SubBand"": ""G1"", ""TxPower"": 16.0, ""mic_hex"": ""4e9535d9"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""app"": {""mId"": ""tbhh100"", ""pId"": ""os1-brow"", ""ver"": ""1""}, ""mod"": {""mId"": ""tbhh100"", ""pId"": ""browan"", ""ver"": ""1""}}, ""Frequency"": 868.5, ""CustomerID"": ""100053770"", ""InstantPER"": 0.0, ""payload_hex"": ""08fb352fffffffff"", ""CustomerData"": {""alr"": {""pro"": ""BROW/TB100"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Charles R&D Product""}], ""name"": ""Dinard_1st_Bathroom"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 0, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
66,58A0CB0000101640,2025-06-10 22:14:38.233+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -67.487717, ""LrrSNR"": 9.25, ""LrrRSSI"": -67.0}]}, ""Time"": ""2025-06-10T22:14:38.233+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB0000101640"", ""FCntDn"": 2762, ""FCntUp"": 21133, ""LrrESP"": -67.487717, ""LrrSNR"": 9.25, ""SpFact"": 7, ""Channel"": ""LC7"", ""DevAddr"": ""E0424688"", ""LrrRSSI"": -67.0, ""MeanPER"": 0.019608, ""NbTrans"": 1, ""SubBand"": ""G2"", ""TxPower"": 2.0, ""mic_hex"": ""0d535c37"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""app"": {""mId"": ""tbhh100"", ""pId"": ""os1-brow"", ""ver"": ""1""}, ""mod"": {""mId"": ""tbhh100"", ""pId"": ""browan"", ""ver"": ""1""}}, ""Frequency"": 867.9, ""CustomerID"": ""100053770"", ""InstantPER"": 0.333333, ""payload_hex"": ""00db285dffffffff"", ""CustomerData"": {""alr"": {""pro"": ""BROW/TB100"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Charles R&D Product""}], ""name"": ""Dinard 1640"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 1, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
67,58A0CB00001088D7,2025-06-10 22:15:37.056+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -65.413925, ""LrrSNR"": 10.0, ""LrrRSSI"": -65.0}]}, ""Time"": ""2025-06-10T22:15:37.056+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB00001088D7"", ""FCntDn"": 5, ""FCntUp"": 132, ""LrrESP"": -65.413925, ""LrrSNR"": 10.0, ""SpFact"": 12, ""Channel"": ""LC7"", ""DevAddr"": ""01DAF793"", ""LrrRSSI"": -65.0, ""MeanPER"": 0.0, ""NbTrans"": 3, ""SubBand"": ""G2"", ""TxPower"": 16.0, ""mic_hex"": ""18f2b67d"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""mod"": {""mId"": ""lora"", ""pId"": ""generic"", ""ver"": ""1""}}, ""Frequency"": 867.9, ""CustomerID"": ""100053770"", ""InstantPER"": 0.0, ""payload_hex"": ""08fb3642ffffffff"", ""CustomerData"": {""alr"": {""pro"": ""LORA/Generic"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Charles R&D Product""}], ""name"": ""Dinard Kitchen Fridge"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 0, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
68,58A0CB0000101640,2025-06-10 22:15:41.456+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -66.110809, ""LrrSNR"": 7.5, ""LrrRSSI"": -65.399994}]}, ""Time"": ""2025-06-10T22:15:41.456+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB0000101640"", ""FCntDn"": 2762, ""FCntUp"": 21134, ""LrrESP"": -66.110809, ""LrrSNR"": 7.5, ""SpFact"": 7, ""Channel"": ""LC1"", ""DevAddr"": ""E0424688"", ""LrrRSSI"": -65.399994, ""MeanPER"": 0.019608, ""NbTrans"": 1, ""SubBand"": ""G1"", ""TxPower"": 2.0, ""mic_hex"": ""c8011f56"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""app"": {""mId"": ""tbhh100"", ""pId"": ""os1-brow"", ""ver"": ""1""}, ""mod"": {""mId"": ""tbhh100"", ""pId"": ""browan"", ""ver"": ""1""}}, ""Frequency"": 868.3, ""CustomerID"": ""100053770"", ""InstantPER"": 0.0, ""payload_hex"": ""00db2a5fffffffff"", ""CustomerData"": {""alr"": {""pro"": ""BROW/TB100"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Charles R&D Product""}], ""name"": ""Dinard 1640"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 0, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
69,58A0CB000010200F,2025-06-10 22:16:00.935+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -83.005554, ""LrrSNR"": 8.25, ""LrrRSSI"": -82.399994}]}, ""Time"": ""2025-06-10T22:16:00.935+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB000010200F"", ""FCntDn"": 6, ""FCntUp"": 137, ""LrrESP"": -83.005554, ""LrrSNR"": 8.25, ""SpFact"": 12, ""Channel"": ""LC2"", ""DevAddr"": ""014FBD9D"", ""LrrRSSI"": -82.399994, ""MeanPER"": 0.0, ""NbTrans"": 2, ""SubBand"": ""G1"", ""TxPower"": 16.0, ""mic_hex"": ""b68a4920"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""app"": {""mId"": ""tbhh100"", ""pId"": ""os1-brow"", ""ver"": ""1""}, ""mod"": {""mId"": ""tbhh100"", ""pId"": ""browan"", ""ver"": ""1""}}, ""Frequency"": 868.5, ""CustomerID"": ""100053770"", ""InstantPER"": 0.0, ""payload_hex"": ""08fb3230ffffffff"", ""CustomerData"": {""alr"": {""pro"": ""BROW/TB100"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Charles R&D Product""}], ""name"": ""Dinard_1st_Bathroom"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 0, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
70,58A0CB000010162C,2025-06-10 22:16:10.169+00,"{""Late"": 0, ""Lrrs"": {""Lrr"": [{""Chain"": 0, ""Lrrid"": ""1000BCDC"", ""LrrESP"": -84.514969, ""LrrSNR"": 9.0, ""LrrRSSI"": -84.0}]}, ""Time"": ""2025-06-10T22:16:10.169+00:00"", ""FPort"": 103, ""Lrcid"": ""00000211"", ""Lrrid"": ""1000BCDC"", ""MType"": 2, ""ADRbit"": 1, ""DevEUI"": ""58A0CB000010162C"", ""FCntDn"": 14, ""FCntUp"": 128, ""LrrESP"": -84.514969, ""LrrSNR"": 9.0, ""SpFact"": 12, ""Channel"": ""LC7"", ""DevAddr"": ""01D201C2"", ""LrrRSSI"": -84.0, ""MeanPER"": 0.193548, ""NbTrans"": 3, ""SubBand"": ""G2"", ""TxPower"": 16.0, ""mic_hex"": ""79f8207f"", ""ModelCfg"": ""0"", ""DevLrrCnt"": 1, ""DriverCfg"": {""app"": {""mId"": ""tbhh100"", ""pId"": ""os1-brow"", ""ver"": ""1""}, ""mod"": {""mId"": ""tbhh100"", ""pId"": ""browan"", ""ver"": ""1""}}, ""Frequency"": 867.9, ""CustomerID"": ""100053770"", ""InstantPER"": 0.0, ""payload_hex"": ""00fb3634ffffffff"", ""CustomerData"": {""alr"": {""pro"": ""BROW/TB100"", ""ver"": ""1""}, ""loc"": null, ""doms"": [{""g"": ""Clients"", ""n"": ""Charles R&D Product""}], ""name"": ""Dinard 162C"", ""tags"": []}, ""DynamicClass"": ""A"", ""LostUplinksAS"": 0, ""BaseStationData"": {""doms"": [{""g"": ""Clients"", ""n"": ""CP's Gateways""}], ""name"": ""CP-Dinard-7076FF006404010B""}, ""PayloadEncryption"": 0}"
